nombre,marca,categoria,precio_orig,precio_actual,desc_corta,descripcion,imagen_url,url_detalle
PACK 2x1 CARNER BARCELONA TARDES MINIATURE PERFUME EDP 15 ML + CARNER VELA PERFUMADA BOSQUE ENCANTADO 55 GRAMOS REGULAR,CARNER BARCELONA,,160.00,19.99,PACK 2x1 CARNER BARCELONA TARDES MINIATURE PERFUME EDP 15 ML + CARNER VELA PERFUMADA BOSQUE ENCANTADO 55 GRAMOS REGULAR,,https://perfumedigital.es/catalog/packcarner22.JPG,https://perfumedigital.es/index.php?op=descripcion&id=39774
SET HUGO BOSS THE SCENT EDT 100 ML + MINIATURA + SHOWER GEL 100 ML REGULAR,Hugo Boss,,142.80,64.99,SET HUGO BOSS THE SCENT EDT 100 ML + MINIATURA + SHOWER GEL 100 ML REGULAR,,https://perfumedigital.es/catalog/thescendd221.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37443
PACK FRAGANCIAS FRESCAS: ANGEL SCHLESSER EAUX BLOOMING GRAPEFRUIT EDT 100 ML @ + CK ONE SUMMER REFLECTIONS EDT 100 ML @ + NIKE ULTRA PINK EDT 100 ML,Angel Schlesser,,89.00,19.99,PACK FRAGANCIAS FRESCAS: ANGEL SCHLESSER EAUX BLOOMING GRAPEFRUIT EDT 100 ML @ + CK ONE SUMMER REFLECTIONS EDT 100 ML @ + NIKE ULTRA PINK EDT 100 ML,,https://perfumedigital.es/catalog/packfragafr2.JPG,https://perfumedigital.es/index.php?op=descripcion&id=37461
PACK ESPECIAL GUILLAB: AQUILA EDP UNISEX 100 ML + GUILLAB EDP UNISEX 70 ML + GOLD ESSENCE NIGHT CREAM 50 ML REGULAR,GUILLAB,,249.00,29.99,PACK ESPECIAL GUILLAB: AQUILA EDP UNISEX 100 ML + GUILLAB EDP UNISEX 70 ML + GOLD ESSENCE NIGHT CREAM 50 ML REGULAR,,https://perfumedigital.es/catalog/GUILLABNAVIDAD2.JPG,https://perfumedigital.es/index.php?op=descripcion&id=37567
KATE SPADE CHERIE JE T`AIME EDP 100 ML,KATE SPADE,,54.00,16.99,KATE SPADE CHERIE JE T`AIME EDP 100 ML,,https://perfumedigital.es/catalog/katespchejt221.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37725
KARL LAGERFELD VIENNA OPERA UNISEX EDT 100 ML,LAGERFELD,,79.00,12.99,KARL LAGERFELD VIENNA OPERA UNISEX EDT 100 ML,,https://perfumedigital.es/catalog/kalvienn23451.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37726
PACK 3x1 FRAGANCIAS MASCULINAS: KARL LAGERFELD VIENNA OPERA EDT 100 ML @ + CROSSMEN 200 ML @ + QUORUM EDT 100ML,LAGERFELD,,79.00,16.99,PACK 3x1 FRAGANCIAS MASCULINAS: KARL LAGERFELD VIENNA OPERA EDT 100 ML @ + CROSSMEN 200 ML @ + QUORUM EDT 100ML,,https://perfumedigital.es/catalog/pa3fraganma2.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37779
LOTE 12 DE MUJER: AGUA DE LUNA FRAICHE DE PUIG EDT 100 ML @ + MI ACORDE WOMAN EDT 80 ML @ + BUSTAMANTE ESENCIA AZUL ELLA EDT 100 ML @ + COQUETTE SECRET D AMOUR EDT 100 M,Victorio & Lucchino,,29.00,9.99,LOTE 12 DE MUJER: AGUA DE LUNA FRAICHE DE PUIG EDT 100 ML @ + MI ACORDE WOMAN EDT 80 ML @ + BUSTAMANTE ESENCIA AZUL ELLA EDT 100 ML @ + COQUETTE SECRET D AMOUR EDT 100 M,,https://perfumedigital.es/catalog/lote12wv88.JPG,https://perfumedigital.es/index.php?op=descripcion&id=37812
D&G LIGHT BLUE CAPRI IN LOVE POUR HOMME EDP 100ML,Dolce & Gabbana,,102.00,39.99,D&G LIGHT BLUE CAPRI IN LOVE POUR HOMME EDP 100ML,,https://perfumedigital.es/catalog/capriloveman21.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37815
LOVELY SHEER EDP 100ML REGULAR,Sarah Jessica Parker,,69.00,15.99,LOVELY SHEER EDP 100ML REGULAR,,https://perfumedigital.es/catalog/lovelysh2322.JPG,https://perfumedigital.es/index.php?op=descripcion&id=38434
PACK 10 PRODUCTOS: 5 FRAGANCIAS SAHPIR 30 ML CADA UNA + 5 MAQUILAJES 10 ML CADA UNO,SAPHIR,,29.00,5.99,PACK 10 PRODUCTOS: 5 FRAGANCIAS SAHPIR 30 ML CADA UNA + 5 MAQUILAJES 10 ML CADA UNO,,https://perfumedigital.es/catalog/packsorpre2.JPG,https://perfumedigital.es/index.php?op=descripcion&id=38436
